0,19,0
0.001,1,0
0.002,1,0
0.003,0,0
0.004,0,0
0.005,1,0
0.006,0,0
0.007,0,0
0.008,0,0
0.009,0,0
0.01,0,0
0.011,1,0
0.012,2,0
0.013,0,0
0.014,1,0
0.015,0,0
0.016,0,0
0.017,1,0
0.018,2,0
0.019,1,0
0.02,2,0
0.021,1,0
0.022,0,0
0.023,2,0
0.024,0,0
0.025,0,0
0.026,2,0
0.027,1,0
0.028,0,0
0.029,0,0
0.03,2,0
0.031,1,0
0.032,0,0
0.033,1,0
0.034,0,0
0.035,0,0
0.036,0,0
0.037,0,0
0.038,0,0
0.039,2,0
0.04,0,0
0.041,1,0
0.042,0,0
0.043,2,0
0.044,1,0
0.045,1,0
0.046,1,0
0.047,0,0
0.048,2,0
0.049,0,0
0.05,0,0
0.051,1,0
0.052,0,0
0.053,0,0
0.054,1,0
0.055,0,0
0.056,0,0
0.057,0,0
0.058,0,0
0.059,0,0
0.06,1,0
0.061,0,0
0.062,0,0
0.063,0,0
0.064,1,0
0.065,1,0
0.066,5,0
0.067,3,0
0.068,4,0
0.069,1,1
0.07,0,0
0.071,3,0
0.072,1,0
0.073,0,0
0.074,1,0
0.075,1,0
0.076,0,0
0.077,3,1
0.078,1,1
0.079,0,0
0.08,5,0
0.081,3,0
0.082,2,0
0.083,3,1
0.084,2,1
0.085,3,1
0.086,2,0
0.087,5,0
0.088,1,0
0.089,0,0
0.09,5,0
0.091,2,0
0.092,2,0
0.093,2,1
0.094,6,1
0.095,4,0
0.096,3,0
0.097,2,0
0.098,5,0
0.099,4,1
0.1,8,0
0.101,12,1
0.102,10,2
0.103,6,1
0.104,8,1
0.105,14,4
0.106,6,0
0.107,14,2
0.108,10,0
0.109,12,2
0.11,8,0
0.111,13,1
0.112,9,4
0.113,5,0
0.114,16,2
0.115,12,4
0.116,14,7
0.117,6,6
0.118,17,2
0.119,12,2
0.12,15,3
0.121,14,3
0.122,21,2
0.123,14,4
0.124,19,7
0.125,18,3
0.126,16,5
0.127,14,6
0.128,29,5
0.129,18,7
0.13,16,3
0.131,32,8
0.132,16,7
0.133,20,8
0.134,18,8
0.135,25,8
0.136,18,14
0.137,29,14
0.138,22,11
0.139,22,11
0.14,20,12
0.141,21,6
0.142,23,11
0.143,27,13
0.144,28,11
0.145,29,20
0.146,23,12
0.147,22,17
0.148,29,18
0.149,23,20
0.15,19,22
0.151,23,26
0.152,31,10
0.153,41,21
0.154,26,27
0.155,33,21
0.156,35,23
0.157,29,22
0.158,54,31
0.159,41,28
0.16,36,31
0.161,31,29
0.162,39,30
0.163,40,31
0.164,37,28
0.165,45,28
0.166,39,28
0.167,43,25
0.168,50,30
0.169,52,36
0.17,44,32
0.171,44,22
0.172,59,34
0.173,62,38
0.174,42,36
0.175,53,49
0.176,41,31
0.177,51,43
0.178,60,50
0.179,47,50
0.18,57,36
0.181,38,53
0.182,42,43
0.183,58,47
0.184,73,41
0.185,61,59
0.186,64,56
0.187,70,59
0.188,58,68
0.189,54,61
0.19,76,54
0.191,69,40
0.192,61,51
0.193,67,57
0.194,77,49
0.195,69,59
0.196,56,53
0.197,73,73
0.198,78,53
0.199,82,61
0.2,63,78
0.201,91,60
0.202,63,84
0.203,61,44
0.204,72,69
0.205,78,73
0.206,64,50
0.207,68,88
0.208,103,89
0.209,64,78
0.21,75,75
0.211,77,61
0.212,82,87
0.213,87,88
0.214,74,76
0.215,65,86
0.216,77,85
0.217,88,88
0.218,85,75
0.219,66,76
0.22,58,75
0.221,87,101
0.222,82,77
0.223,76,82
0.224,83,96
0.225,56,85
0.226,83,81
0.227,79,93
0.228,75,71
0.229,86,84
0.23,81,96
0.231,82,88
0.232,78,80
0.233,82,74
0.234,84,97
0.235,88,77
0.236,77,83
0.237,65,81
0.238,84,95
0.239,79,116
0.24,90,99
0.241,83,100
0.242,60,114
0.243,85,80
0.244,73,96
0.245,94,95
0.246,82,97
0.247,78,119
0.248,87,97
0.249,86,117
0.25,85,86
0.251,88,86
0.252,82,106
0.253,78,91
0.254,92,108
0.255,86,95
0.256,78,87
0.257,79,101
0.258,61,120
0.259,83,94
0.26,58,76
0.261,80,84
0.262,86,92
0.263,83,110
0.264,78,90
0.265,84,95
0.266,85,92
0.267,82,95
0.268,72,90
0.269,70,99
0.27,70,107
0.271,81,91
0.272,77,84
0.273,74,100
0.274,60,116
0.275,72,92
0.276,63,85
0.277,83,102
0.278,68,110
0.279,56,73
0.28,78,89
0.281,65,98
0.282,73,90
0.283,73,102
0.284,73,115
0.285,56,86
0.286,77,97
0.287,65,80
0.288,76,88
0.289,58,83
0.29,68,91
0.291,55,95
0.292,63,81
0.293,66,90
0.294,65,89
0.295,60,100
0.296,52,88
0.297,64,73
0.298,57,86
0.299,55,80
0.3,56,101
0.301,60,78
0.302,48,108
0.303,58,83
0.304,53,74
0.305,45,86
0.306,63,68
0.307,66,97
0.308,54,77
0.309,48,102
0.31,49,93
0.311,48,78
0.312,43,86
0.313,47,75
0.314,60,84
